id,user_id,product_id,comment_dl,star_rating,post_time,upadate_time
20018895,7877468,13419678,"Cuốn sách tương đối ổn, tuy nhiên nội dung cuốn sách hơi đi sâu vào việc phân tích tâm lý của con người một chút, và có chút hơi khó hiểu, nên đọc chậm một chút. Cuốn sách cũng được viết một cách liên tục chứ không chia thành nhiều chương nhiều phần nên đôi khi cứ đọc một lèo không có điểm dừng. Tuy nhiên cuốn sách được viết trong một thời gian rất ngắn nên cũng không thể đòi hỏi gì nhiều. Những nội dung của cuốn sách được viết từ thời điểm còn chiến tranh nhưng vẫn có thể áp dụng tốt ở hiện tại. Chỉ cần con người có một lý do để sống tiếp thì dù có khó khăn như thế nào cũng có thể vượt qua được. Rất cảm ơn tác giả ạ, cháu sẽ còn đọc lại cuốn sách này của ông. Về vấn đề đóng gói và ship thì 10 điểm rồi nên không có gì để nói nhiều. Cảm ơn Tiki rất nhiều",5,2024-10-29 13:23:54,
19816592,12569850,13419678,"Tiki mn chê gì chứ, riêng mảng sách thì không thể chê
Giao hàng nhanh, đóng gói tỉ mỉ, có chống sốc 
       ------*************************------
Nội dụng cuốn này riêng với t sau khi đọc đến 3/4 thì tui cảm thấynhay (như những gì t suy nghĩ, mong đợi).
Với phần 1 là 1 hồi kí được tóm gọn trong khoảng 120 trang nhưng không đi quá sâu vào chi tiết các tội ác man rợ của phát xít Đức (như những cuốn cùng chủ đề thường viết). Từ những câu chuyện độc đáo, kinh khủng trong trại tập trung tác giả đã làm rõ nên những bài học về tâm lí, về ý nghĩa cuộc sống. Nếu ta là các tù nhân trong trại tập trung, ta sẽ học được gì trong sự khổ đau ấy? Hay là sự đầu hàng số phận, buông xuôi. Tôi tin rằng ý nghĩa cuộc sống của mỗi người, của từng thời điểm là khác nhau. Nhưng cái cốt lõi là sống vì sự hy vọng, vì cái tươi sáng của tương lai. Trong hoàn cảnh nào khi xảy ra với mình dù tiêu cực, thì theo cách mn suy nghĩ nó có thể là 1 bài học hay ho, 1 ""bàn đạp"" cho tương lai.
CHỐT LẠI SÁCH HAY, NÊN MUA, 4*",5,2024-03-22 20:22:40,
18191723,9070254,13419678,"46+0k cho 1 cuốn sách quá tuyệt vời
Sách mới tinh ko hề trầy xước hay bị cũ 
10 điểm cho cách gói và giao hàng của tiki 
Mình nhận thấy tiki đã cải thiện loại bìa gói hàng ko bị mềm như trc nữa cũng nhờ vậy mà gói hàng rất vuông vắn đảm bảo chất lượng sách đến tay người dùng 
Nội dung sách mn lên mạng xem rv nha 
Ko hối hận đâu 
❤️Tiki",5,2022-11-13 02:10:15,
19122807,5755646,13419678,Đóng hàng rất chắc chắn và đẹp. Sách đến tay còn nguyên vẹn. Rất  thích các sách do First News xuất bản. Lý do mình mua cuốn “Đi tìm lẽ sống này” là vì mình muốn biết rằng tại sao ở nơi địa ngục như Trại tập trung của Đức Quốc Xã mà con người vẫn có thể tiếp tục sống. Niềm tin khiến họ cố gắng là gì? Ý nghĩa cuộc sống là sao. Một quyển sách đáng để đọc,5,2023-04-23 13:03:04,
12721109,492732,13419678,"Chất giấy quá tệ, ko khác gì sách lậu, mua 3 quyển của First News 1 lúc mà ko thể chấp nhận chất giấy của cuốn nào, dịch nên giao hàng muộn 1 tuần so với dự kiến cũng ko thông tin đến khách hàng, trong khi mình thanh toán tiền trước, vì dịch nên mình cũng thông cảm nhưng thấy chất giấy của sách thì ko thể chấp nhận được. 1*",1,2021-10-20 10:59:44,
20018895,7877468,13419678,"Cuốn sách tương đối ổn, tuy nhiên nội dung cuốn sách hơi đi sâu vào việc phân tích tâm lý của con người một chút, và có chút hơi khó hiểu, nên đọc chậm một chút. Cuốn sách cũng được viết một cách liên tục chứ không chia thành nhiều chương nhiều phần nên đôi khi cứ đọc một lèo không có điểm dừng. Tuy nhiên cuốn sách được viết trong một thời gian rất ngắn nên cũng không thể đòi hỏi gì nhiều. Những nội dung của cuốn sách được viết từ thời điểm còn chiến tranh nhưng vẫn có thể áp dụng tốt ở hiện tại. Chỉ cần con người có một lý do để sống tiếp thì dù có khó khăn như thế nào cũng có thể vượt qua được. Rất cảm ơn tác giả ạ, cháu sẽ còn đọc lại cuốn sách này của ông. Về vấn đề đóng gói và ship thì 10 điểm rồi nên không có gì để nói nhiều. Cảm ơn Tiki rất nhiều",5,2024-10-29 13:23:54,
19816592,12569850,13419678,"Tiki mn chê gì chứ, riêng mảng sách thì không thể chê
Giao hàng nhanh, đóng gói tỉ mỉ, có chống sốc 
       ------*************************------
Nội dụng cuốn này riêng với t sau khi đọc đến 3/4 thì tui cảm thấynhay (như những gì t suy nghĩ, mong đợi).
Với phần 1 là 1 hồi kí được tóm gọn trong khoảng 120 trang nhưng không đi quá sâu vào chi tiết các tội ác man rợ của phát xít Đức (như những cuốn cùng chủ đề thường viết). Từ những câu chuyện độc đáo, kinh khủng trong trại tập trung tác giả đã làm rõ nên những bài học về tâm lí, về ý nghĩa cuộc sống. Nếu ta là các tù nhân trong trại tập trung, ta sẽ học được gì trong sự khổ đau ấy? Hay là sự đầu hàng số phận, buông xuôi. Tôi tin rằng ý nghĩa cuộc sống của mỗi người, của từng thời điểm là khác nhau. Nhưng cái cốt lõi là sống vì sự hy vọng, vì cái tươi sáng của tương lai. Trong hoàn cảnh nào khi xảy ra với mình dù tiêu cực, thì theo cách mn suy nghĩ nó có thể là 1 bài học hay ho, 1 ""bàn đạp"" cho tương lai.
CHỐT LẠI SÁCH HAY, NÊN MUA, 4*",5,2024-03-22 20:22:40,
18191723,9070254,13419678,"40k cho 1 cuốn sách quá tuyệt vời
Sách mới tinh ko hề trầy xước hay bị cũ 
10 điểm cho cách gói và giao hàng của tiki 
Mình nhận thấy tiki đã cải thiện loại bìa gói hàng ko bị mềm như trc nữa cũng nhờ vậy mà gói hàng rất vuông vắn đảm bảo chất lượng sách đến tay người dùng 
Nội dung sách mn lên mạng xem rv nha 
Ko hối hận đâu 
❤️Tiki",5,2022-11-13 02:10:15,
19122807,5755646,13419678,Đóng hàng rất chắc chắn và đẹp. Sách đến tay còn nguyên vẹn. Rất  thích các sách do First News xuất bản. Lý do mình mua cuốn “Đi tìm lẽ sống này” là vì mình muốn biết rằng tại sao ở nơi địa ngục như Trại tập trung của Đức Quốc Xã mà con người vẫn có thể tiếp tục sống. Niềm tin khiến họ cố gắng là gì? Ý nghĩa cuộc sống là sao. Một quyển sách đáng để đọc,5,2023-04-23 13:03:04,
12721109,492732,13419678,"Chất giấy quá tệ, ko khác gì sách lậu, mua 3 quyển của First News 1 lúc mà ko thể chấp nhận chất giấy của cuốn nào, dịch nên giao hàng muộn 1 tuần so với dự kiến cũng ko thông tin đến khách hàng, trong khi mình thanh toán tiền trước, vì dịch nên mình cũng thông cảm nhưng thấy chất giấy của sách thì ko thể chấp nhận được. 1*",1,2021-10-20 10:59:44,
